income_level,credit_score,employment_status,existing_debt,previous_default,loan_status
Low,Average,Self-Employed,Medium,No,Approved
Low,Good,Unemployed,High,No,Rejected
Medium,Good,Self-Employed,High,No,Rejected
High,Poor,Employed,Low,Yes,Approved
Low,Good,Self-Employed,High,No,Rejected
Medium,Average,Unemployed,Low,No,Rejected
High,Poor,Self-Employed,High,Yes,Rejected
Medium,Average,Self-Employed,High,No,Rejected
High,Poor,Employed,Medium,Yes,Rejected
High,Average,Employed,High,No,Approved
Medium,Good,Self-Employed,Low,No,Approved
Medium,Average,Employed,Medium,No,Approved
Low,Poor,Employed,High,No,Approved
Medium,Average,Unemployed,High,No,Rejected
High,Poor,Self-Employed,Medium,No,Approved
Low,Good,Self-Employed,Low,No,Approved
Low,Average,Unemployed,High,Yes,Rejected
Low,Average,Employed,Medium,No,Rejected
Low,Poor,Employed,Medium,No,Approved
Low,Poor,Self-Employed,Medium,Yes,Rejected
High,Average,Employed,Low,No,Approved
Medium,Average,Employed,Medium,No,Approved
Medium,Good,Self-Employed,Medium,No,Approved
Low,Poor,Employed,Low,No,Approved
Low,Average,Employed,Low,No,Approved
Medium,Poor,Employed,Medium,No,Approved
Medium,Average,Employed,Low,No,Approved
Low,Good,Employed,High,No,Approved
Medium,Poor,Self-Employed,Low,No,Rejected
Medium,Good,Self-Employed,Low,No,Approved
High,Poor,Unemployed,Medium,Yes,Rejected
Low,Good,Self-Employed,Medium,No,Rejected
Medium,Average,Self-Employed,High,Yes,Rejected
Medium,Poor,Unemployed,Low,No,Rejected
Low,Good,Employed,Medium,No,Approved
Medium,Good,Unemployed,Medium,No,Approved
High,Poor,Unemployed,Medium,No,Rejected
Low,Poor,Employed,High,No,Rejected
Medium,Poor,Employed,Low,No,Approved
